t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
211.600000 	 0.005976 	 2.809448 	 34137.342985 	 31782.887527 	 3.171283
211.800000 	 0.006019 	 2.809448 	 34311.880207 	 31782.887527 	 3.171283
212.000000 	 0.006061 	 2.857662 	 34484.665532 	 31782.887527 	 3.221283
212.200000 	 0.006105 	 2.857662 	 34684.315417 	 32550.718783 	 3.215410
212.400000 	 0.006148 	 2.857662 	 34879.597589 	 32550.718783 	 3.215410
212.600000 	 0.006192 	 2.857662 	 35070.807370 	 32550.718783 	 3.215410
212.800000 	 0.006236 	 2.857662 	 35258.218034 	 32550.718783 	 3.215410
213.000000 	 0.006281 	 2.905934 	 35443.729309 	 32550.718783 	 3.265410
213.200000 	 0.006327 	 2.905934 	 35656.424663 	 33367.271187 	 3.259100
213.400000 	 0.006373 	 2.905934 	 35864.590031 	 33367.271187 	 3.259100
213.600000 	 0.006419 	 2.905934 	 36068.535123 	 33367.271187 	 3.259100
213.800000 	 0.006465 	 2.905934 	 36268.546453 	 33367.271187 	 3.259100
214.000000 	 0.006512 	 2.954269 	 36466.563454 	 33367.271187 	 3.309100
214.200000 	 0.006560 	 2.954269 	 36692.165759 	 34243.093266 	 3.302262
214.400000 	 0.006608 	 2.954269 	 36913.118459 	 34243.093266 	 3.302262
214.600000 	 0.006657 	 2.954269 	 37129.742757 	 34243.093266 	 3.302262
214.800000 	 0.006706 	 2.954269 	 37342.335712 	 34243.093266 	 3.302262
215.000000 	 0.006755 	 3.002671 	 37552.875944 	 34243.093266 	 3.352262
215.200000 	 0.006806 	 3.002671 	 37791.471836 	 35181.333563 	 3.344862
215.400000 	 0.006856 	 3.002671 	 38025.327043 	 35181.333563 	 3.344862
215.600000 	 0.006907 	 3.002671 	 38254.772360 	 35181.333563 	 3.344862
215.800000 	 0.006959 	 3.002671 	 38480.113632 	 35181.333563 	 3.344862
216.000000 	 0.007011 	 3.051145 	 38703.369115 	 35181.333563 	 3.394862
216.200000 	 0.007064 	 3.051145 	 38955.211070 	 36183.772858 	 3.386876
216.400000 	 0.007117 	 3.051145 	 39202.239888 	 36183.772858 	 3.386876
216.600000 	 0.007171 	 3.051145 	 39444.794773 	 36183.772858 	 3.386876
216.800000 	 0.007226 	 3.051145 	 39683.189245 	 36183.772858 	 3.386876
217.000000 	 0.007281 	 3.087748 	 39919.046904 	 36183.772858 	 3.424571
217.200000 	 0.007335 	 3.087748 	 40176.334523 	 37250.316690 	 3.416010
217.400000 	 0.007391 	 3.087748 	 40429.792043 	 37250.316690 	 3.416010
217.600000 	 0.007447 	 3.087748 	 40679.713023 	 37250.316690 	 3.416010
217.800000 	 0.007503 	 3.087748 	 40926.368837 	 37250.316690 	 3.416010
218.000000 	 0.007560 	 3.113416 	 41170.964673 	 37250.316690 	 3.442399
218.200000 	 0.007616 	 3.113416 	 41430.459366 	 38381.216201 	 3.433274
218.400000 	 0.007673 	 3.113416 	 41686.575549 	 38381.216201 	 3.433274
